Model,BIC,rel.tol
fm,275429.698925,1.000000e-05
fnom,275719.351263,1.000000e-05
fff2,275237.399631,1.000000e-05
fff4,275126.161087,1.000000e-05
fff3,275135.120017,1.000000e-05
fff5,275140.430076,1.000000e-05
fff2_nomig,275586.837124,1.000000e-05
fff4_nomig,275595.041867,1.000000e-05
fff3_nomig,275595.242695,1.000000e-05
fff5_nomig,275601.506029,1.000000e-05
fmr,274867.511094,1.000000e-05
fnomr,275428.958332,1.000000e-05
fff2r,274739.864615,1.000000e-05
fff4r,274733.501813,1.000000e-05
fff3r,274753.482420,1.000000e-05
fff5r,274758.575431,1.000000e-05
fff2r_nomig,275383.098223,1.000000e-05
fff4r_nomig,275400.839182,1.000000e-05
fff3r_nomig,275398.617071,1.000000e-05
fff5r_nomig,275408.739534,1.000000e-05
